,city_name,lat,lon,distance_to_center_km,area_m2,rooms,is_studio,floor,floors_total,floor_ratio,area_per_room,is_top_floor,is_first_floor,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
664,Альметьевск,54.90592957,52.28001022,1.4380631106847177,43.5,2.0,0,1,5,0.2,21.75,0,1,3500000,4599574.896123972,1099574.8961239718,1099574.8961239718,31.416425603542052,31.416425603542052
525,Альметьевск,54.89532471,52.27900314,1.4397057209841737,60.7,4.0,0,2,5,0.4,15.175,0,0,5999999,5979613.449037144,-20385.55096285604,20385.55096285604,0.3397592393408072,-0.3397592393408072
174,Альметьевск,54.89041,52.28283,1.530553978685245,77.6,3.0,0,2,9,0.2222222222222222,25.866666666666664,0,0,11011440,11057277.1385339,45837.13853389956,45837.13853389956,0.4162683403251487,0.4162683403251487
536,Альметьевск,54.901574,52.311315,0.7443107746100255,41.0,2.0,0,3,3,1.0,20.5,1,0,4050000,4097413.3642912856,47413.36429128563,47413.36429128563,1.17070035287125,1.17070035287125
66,Альметьевск,54.89203,52.28391,1.3579185370644744,73.9,2.0,0,9,16,0.5625,36.95,0,0,10486410,10544554.909985635,58144.90998563543,58144.90998563543,0.5544787013442677,0.5544787013442677
820,Альметьевск,54.902812,52.265951,2.1992785407304822,35.0,1.0,0,5,5,1.0,35.0,1,0,4880000,4612876.375473799,-267123.6245262008,267123.6245262008,5.473844764881164,-5.473844764881164
777,Альметьевск,54.908764,52.317981,1.5070209221414979,44.2,2.0,0,1,5,0.2,22.1,0,1,4100000,4277052.874368621,177052.87436862104,177052.87436862104,4.318362789478561,4.318362789478561
381,Альметьевск,54.954101238529994,52.528733656354724,15.804549388773296,43.0,2.0,0,1,2,0.5,21.5,0,1,2500000,2656137.845853963,156137.84585396294,156137.84585396294,6.245513834158518,6.245513834158518
485,Альметьевск,54.9107399,52.27918243,1.7881071181398482,68.3,3.0,0,2,9,0.2222222222222222,22.766666666666666,0,0,8190000,7495395.345818827,-694604.6541811731,694604.6541811731,8.481131308683432,-8.481131308683432
218,Альметьевск,54.89203,52.28391,1.3579185370644744,74.3,2.0,0,6,8,0.75,37.15,0,0,10691770,10458845.12563717,-232924.87436283007,232924.87436283007,2.178543630875244,-2.178543630875244
575,Альметьевск,54.88820267,52.26667023,2.502686005079236,57.9,2.0,0,5,10,0.5,28.95,0,0,6680000,7474992.808956514,794992.8089565141,794992.8089565141,11.901089954438834,11.901089954438834
