iter	MAE	RMSE
685	739145.3763	1133124.818
686	738010.4696	1131052.584
687	737034.9683	1129230.915
688	736160.045	1127938.962
689	736039.4649	1127687.989
690	735296.9065	1126382.5
691	734831.4012	1125612.733
692	734262.9745	1124918.661
693	733452.211	1123682.953
694	732501.182	1122063.031
695	731602.4017	1121175.536
696	731458.0694	1120956.732
697	731194.6938	1120256.892
698	730874.8559	1119675.9
699	729928.7355	1118843.828
700	729777.2601	1118631.296
701	729260.7305	1117928.827
702	728686.8399	1116789.517
703	728071.5908	1115779.809
704	727654.7099	1114854.628
705	727504.0812	1114704.031
706	726778.9952	1113705.953
707	726349.5521	1112989.242
708	725417.0378	1111554.648
709	724735.5592	1110013.871
710	724435.8957	1109508.119
711	724073.8096	1108789.345
712	722568.7785	1105883.702
713	722137.9685	1104961.938
714	721669.9638	1104413.902
715	721455.5772	1103894.99
716	720978.1531	1103208.337
717	720613.2149	1102503.745
718	720512.8436	1102302.684
719	720358.9501	1102121.676
720	719828.2116	1101721.285
721	719470.0811	1101056.77
722	719198.2096	1100534.177
723	718684.4768	1099668.555
724	718421.6589	1099236.549
725	717788.1991	1098078.791
726	717203.3561	1097229.583
727	716662.8565	1095888.568
728	716186.2108	1094988.05
729	716150.1304	1094940.86
730	715545.8082	1093840.14
731	714890.6838	1092786.578
732	714199.6733	1091817.567
733	713091.4679	1090566.457
734	712377.9835	1089000.404
735	711961.355	1088273.506
736	711697.8452	1087648.554
737	711135.4477	1086623.817
738	710783.4786	1085983.596
739	710500.1901	1085560.961
740	709282.5341	1082863.834
741	708088.9207	1080452.716
742	707623.5459	1079611.113
743	707394.1756	1079296.249
744	707002.0098	1078688.863
745	706791.0023	1078373.306
746	705797.3239	1076672.905
747	705562.8591	1076025.137
748	704950.7685	1074861.665
749	704702.0755	1074336.877
750	703003.6705	1070551.704
751	702568.9288	1069647.694
752	701739.4246	1068577.467
753	700983.8058	1067264.25
754	700592.8527	1066642.262
755	700001.9631	1065632.032
756	699118.6117	1064009.526
757	698644.9312	1063360.321
758	698180.1743	1062049.833
759	697959.6763	1061679.702
760	697878.5728	1061446.828
761	696795.7116	1059268.926
762	696223.4381	1058724.889
763	695818.758	1058235.267
764	695756.2463	1057772.478
765	695720.036	1057730.828
766	694840.6601	1056521.93
